Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
1,91.50910925865173,46.95296841106334,16,bashkortostan,2005,2005-01-01,1
2,84.50300709406535,31.520055658938055,12,bashkortostan,2005,2005-02-01,1
3,125.0360703101525,53.97799168853652,13,bashkortostan,2005,2005-03-01,1
4,88.39482250580421,37.96857983857258,13,bashkortostan,2005,2005-04-01,1
5,105.2004977634975,16.980252609388554,14,bashkortostan,2005,2005-05-01,1
6,113.56407928466797,14.485305299615703,16,bashkortostan,2005,2005-06-01,1
7,116.35329945882161,19.589657272655913,12,bashkortostan,2005,2005-07-01,1
8,118.47186279296875,9.764997784750037,16,bashkortostan,2005,2005-08-01,1
9,109.53726100921631,8.25353566518154,16,bashkortostan,2005,2005-09-01,1
10,103.89014271327427,14.093426411083279,14,bashkortostan,2005,2005-10-01,1
11,107.13104200363159,20.816428942121725,16,bashkortostan,2005,2005-11-01,1
12,83.3621804373605,10.37112972481375,14,bashkortostan,2005,2005-12-01,1
1,85.36400397866964,42.51281979751602,16,bashkortostan,2006,2006-01-01,1
2,78.51161575317383,60.47464607854488,14,bashkortostan,2006,2006-02-01,1
3,99.0425534929548,21.850841239951166,14,bashkortostan,2006,2006-03-01,1
4,171.42229402982272,32.86369433518416,13,bashkortostan,2006,2006-04-01,1
5,106.35858154296875,28.2018492472764,11,bashkortostan,2006,2006-05-01,1
6,135.2349822998047,11.520184774025184,15,bashkortostan,2006,2006-06-01,1
7,125.26854070027669,9.91838477499113,12,bashkortostan,2006,2006-07-01,1
8,129.80784116472518,16.953958634478212,14,bashkortostan,2006,2006-08-01,1
9,108.65257087120644,8.210932851574922,13,bashkortostan,2006,2006-09-01,1
10,81.99432901235727,13.344840522821155,13,bashkortostan,2006,2006-10-01,1
11,115.10642841884068,21.2893586778181,14,bashkortostan,2006,2006-11-01,1
12,79.56053988138835,40.05062051387081,15,bashkortostan,2006,2006-12-01,1
1,91.04562550783157,64.85252706653193,16,bashkortostan,2007,2007-01-01,1
2,78.24527701964745,62.4975798781724,13,bashkortostan,2007,2007-02-01,1
3,82.00782718658448,51.77342404305038,10,bashkortostan,2007,2007-03-01,1
4,129.01813779558455,12.369610927908642,14,bashkortostan,2007,2007-04-01,1
5,123.91534805297852,13.866934131626097,12,bashkortostan,2007,2007-05-01,1
6,125.01326322555542,11.427038024556,16,bashkortostan,2007,2007-06-01,1
7,115.82919801984515,11.461116736226158,14,bashkortostan,2007,2007-07-01,1
8,110.99708709716796,10.33856192895166,10,bashkortostan,2007,2007-08-01,1
9,115.1498597462972,6.181871544098341,12,bashkortostan,2007,2007-09-01,1
10,104.93087827242337,11.859366193235186,13,bashkortostan,2007,2007-10-01,1
11,99.322775777181,21.805698138665523,15,bashkortostan,2007,2007-11-01,1
12,99.16977977752686,32.873106577539424,16,bashkortostan,2007,2007-12-01,1
1,107.381756067276,46.28142607796912,16,bashkortostan,2008,2008-01-01,1
2,64.4353779384068,53.87564231273926,7,bashkortostan,2008,2008-02-01,1
3,72.40218911852155,46.323648592905975,14,bashkortostan,2008,2008-03-01,1
4,95.42932942708333,14.391671400770385,15,bashkortostan,2008,2008-04-01,1
5,114.63789224624634,13.307158443263097,16,bashkortostan,2008,2008-05-01,1
6,117.64589881896973,15.7760623763568,16,bashkortostan,2008,2008-06-01,1
7,120.01580429077148,16.334506050949972,12,bashkortostan,2008,2008-07-01,1
8,121.08388185501099,12.222440459178491,16,bashkortostan,2008,2008-08-01,1
9,98.38279914855957,11.30653091442519,16,bashkortostan,2008,2008-09-01,1
10,112.61285502115885,24.104002465686456,15,bashkortostan,2008,2008-10-01,1
11,107.27638006210327,25.34970398712081,16,bashkortostan,2008,2008-11-01,1
12,96.33675861358643,45.36281288390043,16,bashkortostan,2008,2008-12-01,1
1,93.85555582780104,53.42950426805257,13,bashkortostan,2009,2009-01-01,1
2,107.19137246268136,15.39566470523585,14,bashkortostan,2009,2009-02-01,1
3,115.31174325942993,9.510292889351817,16,bashkortostan,2009,2009-03-01,1
4,114.75296325683594,13.360509044403083,15,bashkortostan,2009,2009-04-01,1
5,108.00682020187378,11.801775801364533,16,bashkortostan,2009,2009-05-01,1
6,121.37507820129395,9.918663050162296,12,bashkortostan,2009,2009-06-01,1
7,117.89743900299072,9.9919777706717,16,bashkortostan,2009,2009-07-01,1
8,119.7994966506958,10.022048942297987,16,bashkortostan,2009,2009-08-01,1
9,107.94175815582275,8.911652656984522,16,bashkortostan,2009,2009-09-01,1
10,106.56755685806274,19.69884002374671,16,bashkortostan,2009,2009-10-01,1
11,93.43168313162667,18.01835884746902,14,bashkortostan,2009,2009-11-01,1
12,89.78185812632243,22.16491359768134,12,bashkortostan,2009,2009-12-01,1
1,75.75905336652484,21.16058866116408,14,bashkortostan,2010,2010-01-01,1
