Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
1,4.518079176545143,0.36482234468670927,16,bashkortostan,2005,2005-01-01,1
2,4.382399201393127,0.07882465721482144,12,bashkortostan,2005,2005-02-01,1
3,4.869431406259537,0.37495182552029155,16,bashkortostan,2005,2005-03-01,1
4,4.139315113425255,0.284187963222065,16,bashkortostan,2005,2005-04-01,1
5,3.77059106528759,0.16307352995946636,16,bashkortostan,2005,2005-05-01,1
6,3.7478667348623276,0.4473982363439744,16,bashkortostan,2005,2005-06-01,1
7,3.6423718531926474,0.3989931696989204,12,bashkortostan,2005,2005-07-01,1
8,3.1675752848386765,0.3297009268569381,16,bashkortostan,2005,2005-08-01,1
9,3.7104068845510483,0.226807547281336,16,bashkortostan,2005,2005-09-01,1
10,3.609232153211321,0.22432097316852528,14,bashkortostan,2005,2005-10-01,1
11,3.8068950325250626,0.09983586370724193,16,bashkortostan,2005,2005-11-01,1
12,4.068212764603751,0.27079609182081504,14,bashkortostan,2005,2005-12-01,1
1,4.313594475388527,0.7296820199573172,16,bashkortostan,2006,2006-01-01,1
2,3.9531527246747697,0.8608524072306974,14,bashkortostan,2006,2006-02-01,1
3,4.491106112798055,0.1667352349630495,12,bashkortostan,2006,2006-03-01,1
4,4.216761929648263,0.19760191449515616,14,bashkortostan,2006,2006-04-01,1
5,3.83620023727417,0.3782349011136841,11,bashkortostan,2006,2006-05-01,1
6,3.7194613456726073,0.22575690364101308,15,bashkortostan,2006,2006-06-01,1
7,3.8805690010388694,0.1356573255995666,12,bashkortostan,2006,2006-07-01,1
8,3.3185285329818726,0.6760610744066216,14,bashkortostan,2006,2006-08-01,1
9,3.549209576386672,0.42513906592455664,13,bashkortostan,2006,2006-09-01,1
10,3.31405285688547,0.184140468812656,13,bashkortostan,2006,2006-10-01,1
11,4.188056792531695,0.38313167970335377,14,bashkortostan,2006,2006-11-01,1
12,3.978087291121483,0.4441606217886734,16,bashkortostan,2006,2006-12-01,1
1,4.554369896650314,0.5797282625265385,16,bashkortostan,2007,2007-01-01,1
2,4.180068318049113,0.6510615511025144,15,bashkortostan,2007,2007-02-01,1
3,4.4124436378479,0.3302747211165019,10,bashkortostan,2007,2007-03-01,1
4,4.410950796944754,0.12392070470197933,14,bashkortostan,2007,2007-04-01,1
5,4.172158256173134,0.4045612001166193,16,bashkortostan,2007,2007-05-01,1
6,3.98714879155159,0.3949994918359795,16,bashkortostan,2007,2007-06-01,1
7,3.5561266115733554,0.4493261437940708,14,bashkortostan,2007,2007-07-01,1
8,3.4864819049835205,0.37966101430697824,10,bashkortostan,2007,2007-08-01,1
9,3.9005061785380044,0.17783953488469287,12,bashkortostan,2007,2007-09-01,1
10,3.508473345211574,0.2653853613717429,14,bashkortostan,2007,2007-10-01,1
11,3.848384588956833,0.23917067706914116,16,bashkortostan,2007,2007-11-01,1
12,3.9080939441919327,0.45487472263503215,16,bashkortostan,2007,2007-12-01,1
1,4.1853469759225845,0.45495740636033977,16,bashkortostan,2008,2008-01-01,1
2,3.6180378957228227,0.5037358507616541,11,bashkortostan,2008,2008-02-01,1
3,4.040310099720955,0.5099569874771368,16,bashkortostan,2008,2008-03-01,1
4,4.165264288584392,0.301369159500539,15,bashkortostan,2008,2008-04-01,1
5,3.9795816455568587,0.3214297095906114,14,bashkortostan,2008,2008-05-01,1
6,3.962072178721428,0.1620851134095749,16,bashkortostan,2008,2008-06-01,1
7,3.743236323197683,0.37473120459800435,12,bashkortostan,2008,2008-07-01,1
8,3.527149483561516,0.40868007348908036,16,bashkortostan,2008,2008-08-01,1
9,2.981990560889244,0.1535170344100515,16,bashkortostan,2008,2008-09-01,1
10,3.6252087503671646,0.483166865766548,16,bashkortostan,2008,2008-10-01,1
